A;1;27
AADAM;1;36
AADEL;1;57
AADIL;1;191
AAHIL;1;32
AAKASH;1;29
AAMIR;1;21
AARAN;1;20
AARAV;1;25
AARISH;1;21
AARON;1;33975
AARÔN;1;23
AARONE;1;183
AARONN;1;124
AAROUN;1;59
AARRON;1;21
AARUSH;1;68
AARUSHAN;1;21
AATHIRAN;1;29
AAYAN;1;103
AAZIZ;1;30
AB;1;76
AB-DEL;1;45
ABA;1;24
ABABACAR;1;78
ABAKAR;1;35
ABAN;1;24
ABANE;1;22
ABAS;1;50
ABASS;1;136
ABASSE;1;122
ABBA;1;23
ABBAS;1;293
ABBASS;1;22
ABBES;1;306
ABD;1;1632
ABD'ALLAH;1;52
ABD-ALLAH;1;180
ABD-AR-RAHMAN;1;21
ABD-EL;1;480
ABD-EL-KADER;1;51
ABD-EL-KRIM;1;24
ABD-EL-RAHMAN;1;21
ABD-RAHIM;1;20
ABD-RAHMAN;1;42
ABD-SAMAD;1;25
ABDALA;1;75
ABDALAH;1;221
ABDALAYE;1;42
ABDALHA;1;28
ABDALLA;1;90
ABDALLAH;1;6239
ABDALRAHMAN;1;25
ABDARAHIM;1;21
ABDARAHMAN;1;37
ABDARAHMANE;1;38
ABDARRAHMAN;1;49
ABDASSAMAD;1;28
ABDE;1;189
ABDEL;1;4746
ABDEL-AKIM;1;84
ABDEL-ALI;1;106
ABDEL-AZIZ;1;240
ABDEL-DJALIL;1;50
ABDEL-GHANI;1;52
ABDEL-HADI;1;39
ABDEL-HAFID;1;107
ABDEL-HAK;1;30
ABDEL-HAKIM;1;448
ABDEL-HALIM;1;177
ABDEL-HAMID;1;218
ABDEL-ILAH;1;85
ABDEL-ILLAH;1;76
ABDEL-JALIL;1;111
ABDEL-KADER;1;467
ABDEL-KARIM;1;467
ABDEL-KRIM;1;129
ABDEL-LATIF;1;45
ABDEL-MADJID;1;96
ABDEL-MAGID;1;21
ABDEL-MAJID;1;122
ABDEL-MALEK;1;207
ABDEL-MALIK;1;462
ABDEL-MOUMEN;1;25
ABDEL-NACER;1;36
ABDEL-NASSER;1;84
ABDEL-NOUR;1;78
ABDEL-RAHIM;1;101
ABDEL-RAHMAN;1;171
ABDEL-RAHMANE;1;89
ABDEL-RAHMEN;1;36
ABDEL-RANI;1;50
ABDEL-RAOUF;1;48
ABDEL-SALEM;1;34
ABDEL-SAMAD;1;83
ABDEL-WAHAB;1;56
ABDEL-WAHEB;1;30
ABDEL-WAHID;1;41
ABDEL-WAKIL;1;21
ABDELA;1;75
ABDELAALI;1;37
ABDELADIM;1;26
ABDELAFID;1;34
ABDELAH;1;229
ABDELAKIM;1;121
ABDELALI;1;485
ABDELALIM;1;26
ABDELAMID;1;26
ABDELATIF;1;468
ABDELAZIZ;1;2289
ABDELAZIZE;1;120
ABDELAZZIZ;1;45
ABDELBAKI;1;76
ABDELBARI;1;20
ABDELBASET;1;22
ABDELBASSET;1;103
ABDELDJALIL;1;149
ABDELDJALLIL;1;26
ABDELFATAH;1;118
ABDELFATTAH;1;67
ABDELFETAH;1;38
ABDELFETTAH;1;25
ABDELGHAFOUR;1;42
ABDELGHANI;1;545
ABDELHA;1;38
ABDELHADI;1;380
ABDELHAFED;1;25
ABDELHAFID;1;778
ABDELHAFIDE;1;31
ABDELHAK;1;925
ABDELHAKE;1;39
ABDELHAKIM;1;1538
